model,key,load_seconds,memory_mb_after_load,device,first_run_s,mean_s,min_s,max_s,total_runs,successful_runs,failed_runs,run_success_rate,total_receipts,parsed_receipts,failed_receipts,receipt_parse_rate,parsed,item_precision,item_recall,item_f1,name_cer,qty_acc,unit_price_acc,total_price_acc,item_exact_rate,subtotal_ok,charges_recall,total_ok,consistent
DeepSeek (deepseek-flash),deepseek,0.0,0.0,cloud API,1.65,1.67,0.892,4.202,20,20,0,1.0,20,20,0,1.0,1.0,0.816,0.904,0.839,0.162,0.899,0.759,0.759,0.603,0.75,0.85,0.85,0.6
Donut (CORD-v2),donut,6.63,480.8,mps,2.539,2.149,0.212,8.864,60,60,0,1.0,20,20,0,1.0,1.0,0.421,0.578,0.459,0.468,0.553,0.212,0.382,0.218,0.6,0.575,0.35,0.0
Qwen-VL (Qwen3-VL-2B-Instruct),qwen,10.83,-1841.1,mps,8.315,10.698,5.154,34.047,60,57,3,0.95,20,20,0,1.0,1.0,0.838,0.828,0.821,0.17,0.826,0.688,0.688,0.587,0.5,0.55,0.3,0.6
